SampleTimeStamp;SentTimeStamp;ReceivedTimeStamp;latitude;longitude;
1513176483.832199;1513176483.832199;1513176483.832305;57.77319820870147;12.76806698526392;
1513176483.842162;1513176483.842162;1513176483.842267;57.7731970781486;12.76807394397942;
1513176483.851787;1513176483.851787;1513176483.851901;57.77319595104486;12.76808087533816;
1513176483.861854;1513176483.861854;1513176483.861955;57.77319482688274;12.76808777640911;
1513176483.902639;1513176483.902639;1513176483.902743;57.77319370650206;12.76809464778085;
1513176483.982804;1513176483.982804;1513176483.982979;57.77319259213468;12.76810148899365;
1513176484.040723;1513176484.040723;1513176484.040824;57.77319148358468;12.76810829980034;
1513176484.102835;1513176484.102835;1513176484.102941;57.77319038076051;12.7681150823893;
1513176484.18282;1513176484.18282;1513176484.182921;57.77318928349932;12.76812183520912;
1513176484.229834;1513176484.229834;1513176484.230337;57.77318819080573;12.76812855833141;
1513176484.250408;1513176484.250408;1513176484.250508;57.77318710402098;12.76813525102003;
1513176484.269775;1513176484.269775;1513176484.270001;57.77318602318582;12.76814191705375;
1513176484.306465;1513176484.306465;1513176484.306568;57.77318494832664;12.76814855445241;
1513176484.318924;1513176484.318924;1513176484.319026;57.77318387907998;12.76815516218608;
1513176484.331297;1513176484.331297;1513176484.331395;57.77318281459665;12.76816174277871;
1513176484.356499;1513176484.356499;1513176484.356606;57.77318177564064;12.76816830292087;
1513176484.389304;1513176484.389304;1513176484.389408;57.77318125735889;12.76817157187716;
1513176484.464063;1513176484.464063;1513176484.464177;57.77318022634608;12.76817808992423;
1513176484.555493;1513176484.555493;1513176484.555778;57.77317920261217;12.76818458043151;
1513176484.640589;1513176484.640589;1513176484.641343;57.77317818380095;12.76819104039889;
1513176484.706765;1513176484.706765;1513176484.707581;57.77317716721547;12.76819746855658;
1513176484.787386;1513176484.787386;1513176484.788274;57.7731766602295;12.76820067252984;
1513176484.820724;1513176484.820724;1513176484.821728;57.77317564897216;12.76820705686959;
1513176484.857733;1513176484.857733;1513176484.857837;57.77317464126489;12.76821341156565;
1513176484.892786;1513176484.892786;1513176484.893958;57.77317363964838;12.76821974040268;
1513176484.959602;1513176484.959602;1513176484.961205;57.7731726441596;12.76822604236387;
1513176485.018638;1513176485.018638;1513176485.018749;57.77317116181905;12.76823543913951;
1513176485.04648;1513176485.04648;1513176485.046588;57.77317017849364;12.76824167075935;
1513176485.070314;1513176485.070314;1513176485.070416;57.77316870905997;12.76825097672288;
1513176485.076675;1513176485.076675;1513176485.076785;57.77316773296478;12.76825715604624;
1513176485.082881;1513176485.082881;1513176485.082981;57.77316676142034;12.76826331464992;
1513176485.127022;1513176485.127022;1513176485.127257;57.77316579305599;12.76826945037611;
1513176485.156141;1513176485.156141;1513176485.156299;57.77316482861647;12.76827556468301;
1513176485.180782;1513176485.180782;1513176485.180889;57.77316386833236;12.76828165615049;
1513176485.227092;1513176485.227092;1513176485.227203;57.77316291129829;12.76828772536504;
1513176485.240649;1513176485.240649;1513176485.240758;57.77316195777527;12.76829377125459;
1513176485.268509;1513176485.268509;1513176485.268622;57.77316100823299;12.76829979376279;
1513176485.286046;1513176485.286046;1513176485.286156;57.77316006389136;12.76830579059336;
1513176485.309436;1513176485.309436;1513176485.309546;57.77315912556286;12.76831176060026;
1513176485.338155;1513176485.338155;1513176485.338933;57.77315819215487;12.76831769925508;
1513176485.534305;1513176485.534305;1513176485.534415;57.77315631790668;12.76832946328263;
1513176485.590371;1513176485.590371;1513176485.590485;57.7731553895213;12.76833529534771;
1513176485.61012;1513176485.61012;1513176485.61023;57.77315446682384;12.76834109115273;
1513176485.636916;1513176485.636916;1513176485.63858;57.77315355042162;12.76834685119533;
1513176485.668431;1513176485.668431;1513176485.671228;57.77315218919045;12.76835542069785;
1513176485.690108;1513176485.690108;1513176485.690228;57.77315129182771;12.76836108776629;
1513176485.706364;1513176485.706364;1513176485.706483;57.77315040140444;12.76836672090869;
1513176485.727769;1513176485.727769;1513176485.731719;57.77314951630832;12.76837231990586;
1513176485.769096;1513176485.769096;1513176485.769177;57.77314863540707;12.76837788524995;
1513176485.849131;1513176485.849131;1513176485.849238;57.77314776005935;12.76838342044265;
1513176485.929782;1513176485.929782;1513176485.930456;57.7731468897131;12.76838892425956;
1513176486.009456;1513176486.009456;1513176486.009629;57.77314602489216;12.76839439940504;
1513176486.043099;1513176486.043099;1513176486.043207;57.77314516478162;12.76839984727403;
1513176486.055565;1513176486.055565;1513176486.055729;57.77314430762672;12.7684052692209;
1513176486.065798;1513176486.065798;1513176486.065904;57.77314345368818;12.7684106667659;
1513176486.078681;1513176486.078681;1513176486.078857;57.77314260233437;12.76841603951424;
1513176486.091145;1513176486.091145;1513176486.091204;57.77314175465638;12.76842138637268;
1513176486.102651;1513176486.102651;1513176486.103283;57.77314091341835;12.768426708797;
1513176486.113413;1513176486.113413;1513176486.113532;57.77314007883676;12.76843200879366;
1513176486.133343;1513176486.133343;1513176486.133561;57.7731392479928;12.76843728809032;
1513176486.212832;1513176486.212832;1513176486.212936;57.7731384196944;12.76844254685781;
1513176486.283093;1513176486.283093;1513176486.28328;57.77313759330374;12.7684477845032;
1513176486.362596;1513176486.362596;1513176486.362696;57.7731367693569;12.76845300038529;
1513176486.46142;1513176486.46142;1513176486.462727;57.77313595232213;12.76845819251489;
1513176486.539791;1513176486.539791;1513176486.540462;57.77313473868627;12.76846593471904;
1513176486.560712;1513176486.560712;1513176486.560833;57.77313393676469;12.76847106800428;
1513176486.575212;1513176486.575212;1513176486.575374;57.77313313980485;12.7684761775893;
1513176486.590987;1513176486.590987;1513176486.591122;57.77313234679853;12.76848126119495;
1513176486.635631;1513176486.635631;1513176486.635758;57.77313116428368;12.7684888373263;
1513176486.654342;1513176486.654342;1513176486.654532;57.77313038111039;12.76849385544298;
1513176486.712627;1513176486.712627;1513176486.712736;57.77312960382348;12.76849884813526;
1513176486.793637;1513176486.793637;1513176486.793762;57.77312882999005;12.76850381882878;
1513176486.873721;1513176486.873721;1513176486.873827;57.77312806031949;12.76850877056834;
1513176486.942366;1513176486.942366;1513176486.942469;57.77312729398484;12.76851370529794;
1513176486.97976;1513176486.97976;1513176486.979871;57.77312653027765;12.76851862356468;
1513176487.006251;1513176487.006251;1513176487.00643;57.77312576823811;12.7685235256363;
1513176487.023726;1513176487.023726;1513176487.023852;57.77312500836608;12.7685284111298;
1513176487.031699;1513176487.031699;1513176487.031805;57.77312425075647;12.76853328073921;
1513176487.038903;1513176487.038903;1513176487.039015;57.77312349583934;12.76853813398948;
1513176487.048338;1513176487.048338;1513176487.048468;57.77312274362162;12.76854297355555;
1513176487.055717;1513176487.055717;1513176487.055813;57.77312199401293;12.76854780165177;
1513176487.08285;1513176487.08285;1513176487.082953;57.77312124637394;12.76855262002569;
1513176487.162697;1513176487.162697;1513176487.162872;57.77312050136138;12.76855742958084;
1513176487.24001;1513176487.24001;1513176487.240124;57.77311975867763;12.76856222891447;
1513176487.313593;1513176487.313593;1513176487.313697;57.77311901720848;12.7685670176694;
1513176487.375782;1513176487.375782;1513176487.375889;57.77311827614017;12.76857179910841;
1513176487.398932;1513176487.398932;1513176487.399038;57.77311753549768;12.7685765768804;
1513176487.418853;1513176487.418853;1513176487.419023;57.77311679270291;12.76858135129984;
1513176487.46283;1513176487.46283;1513176487.46295;57.77311567650595;12.76858849838745;
1513176487.485414;1513176487.485414;1513176487.485525;57.77311493462713;12.7685932519469;
1513176487.492572;1513176487.492572;1513176487.49268;57.77311419467879;12.76859799546527;
1513176487.533152;1513176487.533152;1513176487.53326;57.77311345685315;12.76860273550811;
1513176487.672812;1513176487.672812;1513176487.672921;57.77311235141456;12.76860984935908;
1513176487.754309;1513176487.754309;1513176487.754408;57.77311161432857;12.76861459217986;
1513176487.823573;1513176487.823573;1513176487.823705;57.77311087622616;12.76861933097101;
1513176487.835535;1513176487.835535;1513176487.835711;57.77311013872306;12.76862406757124;
1513176487.84969;1513176487.84969;1513176487.850181;57.77310940275534;12.76862880044117;
1513176487.859121;1513176487.859121;1513176487.859223;57.77310903483308;12.76863116609819;
1513176487.896061;1513176487.896061;1513176487.896452;57.77310829952165;12.76863589686744;
1513176487.913977;1513176487.913977;1513176487.914084;57.77310756553734;12.76864062476305;
1513176487.926649;1513176487.926649;1513176487.926758;57.77310683269945;12.7686453510499;
1513176487.936927;1513176487.936927;1513176487.937024;57.77310610159869;12.76865007729731;
1513176487.96414;1513176487.96414;1513176487.965537;57.77310537091968;12.76865480243488;
1513176488.033934;1513176488.033934;1513176488.034039;57.77310463950639;12.76865952953409;
1513176488.081892;1513176488.081892;1513176488.082001;57.77310390657959;12.76866425913708;
1513176488.159635;1513176488.159635;1513176488.159735;57.77310317304436;12.76866899131601;
1513176488.240159;1513176488.240159;1513176488.240271;57.77310243926893;12.76867372671438;
1513176488.257681;1513176488.257681;1513176488.257787;57.77310170594379;12.76867846616662;
1513176488.270557;1513176488.270557;1513176488.27103;57.77310097406744;12.76868321115656;
1513176488.286023;1513176488.286023;1513176488.286083;57.77310024220515;12.768687962223;
1513176488.300349;1513176488.300349;1513176488.300614;57.7730995094084;12.76869271963973;
1513176488.334482;1513176488.334482;1513176488.335528;57.77309877550766;12.76869748430735;
1513176488.393589;1513176488.393589;1513176488.3937;57.7730980304907;12.76870223598952;
1513176488.410015;1513176488.410015;1513176488.410152;57.77309765842205;12.76870461539425;
1513176488.44044;1513176488.44044;1513176488.440546;57.77309691266588;12.76870938352103;
1513176488.519829;1513176488.519829;1513176488.519934;57.7730961652111;12.76871416482334;
1513176488.599302;1513176488.599302;1513176488.599412;57.77309541560641;12.76871896047559;
1513176488.67914;1513176488.67914;1513176488.679554;57.77309466542998;12.76872376881393;
1513176488.717519;1513176488.717519;1513176488.71762;57.7730942903229;12.76872617769414;
1513176488.731875;1513176488.731875;1513176488.731981;57.77309353940036;12.76873100304356;
1513176488.749925;1513176488.749925;1513176488.750028;57.77309278575039;12.76873583893044;
1513176488.761791;1513176488.761791;1513176488.761891;57.77309202917873;12.76874068611999;
1513176488.779729;1513176488.779729;1513176488.781141;57.77309127012511;12.76874554813538;
1513176488.798714;1513176488.798714;1513176488.798822;57.77309050922058;12.76875042753753;
1513176488.813431;1513176488.813431;1513176488.813533;57.77308974702274;12.76875532179829;
1513176488.835486;1513176488.835486;1513176488.83559;57.77308898238129;12.76876023058924;
1513176488.912913;1513176488.912913;1513176488.913019;57.77308821466452;12.76876515423734;
1513176488.992806;1513176488.992806;1513176488.992909;57.77308744448193;12.76877009120896;
1513176489.049328;1513176489.049328;1513176489.049436;57.77308667200886;12.76877504289359;
1513176489.109954;1513176489.109954;1513176489.110055;57.77308589829859;12.76878000804574;
1513176489.146555;1513176489.146555;1513176489.146704;57.77308512258107;12.7687849854809;
