SampleTimeStamp;SentTimeStamp;ReceivedTimeStamp;groundSpeed;
1513176499.371757;1513176499.371757;1513176499.371825;11.15132;
1513176499.389511;1513176499.389511;1513176499.389617;11.15523;
1513176499.403703;1513176499.403703;1513176499.403857;11.15132;
1513176499.453563;1513176499.453563;1513176499.454028;11.15914;
1513176499.507066;1513176499.507066;1513176499.507176;11.13568;
1513176499.569998;1513176499.569998;1513176499.570402;11.13177;
1513176499.591322;1513176499.591322;1513176499.591441;11.13568;
1513176499.612635;1513176499.612635;1513176499.612742;11.12004;
1513176499.730861;1513176499.730861;1513176499.731221;11.12786;
1513176499.749581;1513176499.749581;1513176499.749794;11.13177;
1513176499.781897;1513176499.781897;1513176499.782032;11.12786;
1513176499.822522;1513176499.822522;1513176499.822689;11.12395;
1513176499.835954;1513176499.835954;1513176499.839652;11.0653;
1513176499.893645;1513176499.893645;1513176499.893764;10.95191;
1513176499.923563;1513176499.923563;1513176499.923674;10.9089;
1513176499.942362;1513176499.942362;1513176499.942495;10.89717;
1513176499.960795;1513176499.960795;1513176499.960861;10.8698;
1513176500.01399;1513176500.01399;1513176500.014069;10.76032;
1513176500.033969;1513176500.033969;1513176500.034031;10.7525;
1513176500.166002;1513176500.166002;1513176500.166134;10.61956;
1513176500.21676;1513176500.21676;1513176500.216904;10.53745;
1513176500.232416;1513176500.232416;1513176500.232623;10.5179;
1513176500.250286;1513176500.250286;1513176500.250455;10.49053;
1513176500.268479;1513176500.268479;1513176500.268585;10.47098;
1513176500.364993;1513176500.364993;1513176500.365456;10.06043;
1513176500.375315;1513176500.375315;1513176500.375422;10.04479;
1513176500.430388;1513176500.430388;1513176500.430568;9.939220000000001;
1513176500.452611;1513176500.452611;1513176500.452717;9.90794;
1513176500.465225;1513176500.465225;1513176500.465288;9.876660000000001;
1513176500.626711;1513176500.626711;1513176500.626878;9.724170000000001;
1513176500.654508;1513176500.654508;1513176500.654619;9.700710000000001;
1513176500.685027;1513176500.685027;1513176500.68509;9.6577;
1513176500.712256;1513176500.712256;1513176500.71232;9.579500000000001;
1513176500.732192;1513176500.732192;1513176500.732253;9.49348;
