SampleTimeStamp;SentTimeStamp;ReceivedTimeStamp;positionX;positionY;velocityX;velocityY;orientation;yawRate;
1513353114.54727;1513353114.54727;1513353114.547522;25.6660363302885;-7.698371576022394;7.945484161050825;0.005943942490071588;-0.2815889724281057;0.006149699614149521;
1513353114.556861;1513353114.556861;1513353114.556925;25.74237836837405;-7.720393578868189;7.948864106795643;0.005927260148027334;-0.2815274754319642;0.006136267572391441;
1513353114.566817;1513353114.566817;1513353114.566882;25.81875418310169;-7.742420437399558;7.952226175718947;0.005910558151662123;-0.2814661127562402;0.006122783300502683;
1513353114.576822;1513353114.576822;1513353114.576886;25.89516360060978;-7.76445210834216;7.955570460864346;0.005893837891795556;-0.2814048849232352;0.006109247888740276;
1513353114.586759;1513353114.586759;1513353114.586823;25.97160644791146;-7.786488548751684;7.958897054912016;0.005877100640827899;-0.2813437924443478;0.006095662385836615;
1513353114.596784;1513353114.596784;1513353114.596858;26.04808255289115;-7.808529716012854;7.962204382271664;0.005860344234886601;-0.2812828358204894;0.006082025640727677;
1513353114.607407;1513353114.607407;1513353114.607462;26.12459172826829;-7.830575563240425;7.96549436967851;0.005843574221027874;-0.2812220155640821;0.006068341288957209;
1513353114.617037;1513353114.617037;1513353114.617115;26.20113380526483;-7.852626048929599;7.968765442519498;0.005826787883676781;-0.2811613321511925;0.006054607932719842;
1513353114.627204;1513353114.627204;1513353114.627428;26.27770859994589;-7.874681127312792;7.972019492318497;0.005809990318056302;-0.2811007860718653;0.006040828999811542;
1513353114.636784;1513353114.636784;1513353114.636861;26.35431594654094;-7.89674075790479;7.975256580565525;0.005793182130480019;-0.2810403777818672;0.006027005307726626;
1513353114.646798;1513353114.646798;1513353114.646874;26.43095567985108;-7.918804900463066;7.978476772049352;0.005776363814346586;-0.28098010772879;0.006013137590162737;
1513353114.657372;1513353114.657372;1513353114.657445;26.50762763528067;-7.94087351499717;7.981680133573602;0.005759535887218704;-0.2809199763528883;0.005999226583673111;
1513353114.666869;1513353114.666869;1513353114.666933;26.58433164885697;-7.962946561773295;7.984866733695662;0.005742698886888836;-0.2808599840870516;0.005985273027277069;
1513353114.67718;1513353114.67718;1513353114.67724;26.66106755724731;-7.985024001318143;7.988036642551301;0.005725853368146259;-0.2808001313567788;0.00597127766219564;
1513353114.686944;1513353114.686944;1513353114.686986;26.73783519777453;-8.007105794422332;7.991189931667342;0.005708999780405872;-0.2807404185801569;0.005957241154048313;
